V1,V2
ENSG00000008838,MED24
ENSG00000060138,YBX3
ENSG00000060140,STYK1
ENSG00000060642,PIGV
ENSG00000064601,CTSA
ENSG00000076003,MCM6
ENSG00000076108,BAZ2A
ENSG00000089012,SIRPG
ENSG00000090238,YPEL3
ENSG00000101017,CD40
ENSG00000111252,SH2B3
ENSG00000111276,CDKN1B
ENSG00000115607,IL18RAP
ENSG00000118495,PLAGL1
ENSG00000118513,MYB
ENSG00000122986,HVCN1
ENSG00000135148,TRAFD1
ENSG00000137312,FLOT1
ENSG00000137331,IER3
ENSG00000137404,NRM
ENSG00000138311,ZNF365
ENSG00000141736,ERBB2
ENSG00000143457,GOLPH3L
ENSG00000150045,KLRF1
ENSG00000150907,FOXO1
ENSG00000153064,BANK1
ENSG00000160201,U2AF1
ENSG00000162643,WDR63
ENSG00000163947,ARHGEF3
ENSG00000167995,BEST1
ENSG00000168477,TNXB
ENSG00000170425,ADORA2B
ENSG00000172322,CLEC12A
ENSG00000173585,CCR9
ENSG00000177646,ACAD9
ENSG00000179958,DCTPP1
ENSG00000183625,CCR3
ENSG00000187688,TRPV2
ENSG00000187741,FANCA
ENSG00000196126,HLA-DRB1
ENSG00000196735,HLA-DQA1
ENSG00000196850,PPTC7
ENSG00000198324,PHETA1
ENSG00000198945,L3MBTL3
ENSG00000204261,PSMB8-AS1
ENSG00000204287,HLA-DRA
ENSG00000204301,NOTCH4
ENSG00000204310,AGPAT1
ENSG00000204438,GPANK1
ENSG00000204463,BAG6
ENSG00000204469,PRRC2A
ENSG00000204472,AIF1
ENSG00000204475,NCR3
ENSG00000204520,MICA
ENSG00000204580,DDR1
ENSG00000204592,HLA-E
ENSG00000204613,TRIM10
ENSG00000204632,HLA-G
ENSG00000204642,HLA-F
ENSG00000205809,KLRC2
ENSG00000205810,KLRC3
ENSG00000206344,HCG27
ENSG00000206503,HLA-A
ENSG00000213760,ATP6V1G2
ENSG00000213901,SLC23A3
ENSG00000226979,LTA
ENSG00000227507,LTB
ENSG00000232810,TNF
ENSG00000234127,TRIM26
ENSG00000234745,HLA-B
ENSG00000237541,HLA-DQA2
ENSG00000241106,HLA-DOB
