Ensembl Gene ID	Ensembl Protein ID	CommonGeneName
ENSG00000000938	ENSP00000363115	FGR
ENSG00000000938	ENSP00000363116	FGR
ENSG00000000938	ENSP00000363117	FGR
ENSG00000000938	ENSP00000382126	FGR
ENSG00000000938	ENSP00000407670	FGR
ENSG00000000971	ENSP00000352658	CFH
ENSG00000000971	ENSP00000356399	CFH
ENSG00000000971	ENSP00000487250	CFH
ENSG00000001036	ENSP00000002165	FUCA2
ENSG00000001036	ENSP00000398119	FUCA2
ENSG00000001561	ENSP00000318066	ENPP4
ENSG00000002822	ENSP00000265854	MAD1L1
ENSG00000002822	ENSP00000382562	MAD1L1
ENSG00000002822	ENSP00000384155	MAD1L1
ENSG00000002822	ENSP00000385334	MAD1L1
ENSG00000002822	ENSP00000390099	MAD1L1
ENSG00000002822	ENSP00000393037	MAD1L1
ENSG00000002822	ENSP00000394069	MAD1L1
ENSG00000002822	ENSP00000394886	MAD1L1
ENSG00000002822	ENSP00000395457	MAD1L1
ENSG00000002822	ENSP00000397417	MAD1L1
ENSG00000002822	ENSP00000401901	MAD1L1
ENSG00000002822	ENSP00000413139	MAD1L1
ENSG00000002822	ENSP00000414877	MAD1L1
ENSG00000003249	ENSP00000002501	DBNDD1
ENSG00000003249	ENSP00000306407	DBNDD1
ENSG00000003249	ENSP00000376699	DBNDD1
ENSG00000003249	ENSP00000456573	DBNDD1
ENSG00000003249	ENSP00000457625	DBNDD1
ENSG00000003400	ENSP00000237865	CASP10
ENSG00000003400	ENSP00000272879	CASP10
ENSG00000003400	ENSP00000286186	CASP10
ENSG00000003400	ENSP00000314599	CASP10
ENSG00000003400	ENSP00000353250	CASP10
ENSG00000003400	ENSP00000363781	CASP10
ENSG00000003400	ENSP00000396835	CASP10
ENSG00000003400	ENSP00000401914	CASP10
ENSG00000003402	ENSP00000312455	CFLAR
ENSG00000003402	ENSP00000339326	CFLAR
ENSG00000003402	ENSP00000339335	CFLAR
ENSG00000003402	ENSP00000342809	CFLAR
ENSG00000003402	ENSP00000345807	CFLAR
ENSG00000003402	ENSP00000378580	CFLAR
ENSG00000003402	ENSP00000391029	CFLAR
ENSG00000003402	ENSP00000398551	CFLAR
ENSG00000003402	ENSP00000399420	CFLAR
ENSG00000003402	ENSP00000406775	CFLAR
ENSG00000003402	ENSP00000409570	CFLAR
ENSG00000003402	ENSP00000411535	CFLAR
ENSG00000003402	ENSP00000411897	CFLAR
ENSG00000003402	ENSP00000412882	CFLAR
ENSG00000003402	ENSP00000413270	CFLAR
ENSG00000003402	ENSP00000469608	CFLAR
ENSG00000003402	ENSP00000469917	CFLAR
ENSG00000003402	ENSP00000471749	CFLAR
ENSG00000003402	ENSP00000471805	CFLAR
ENSG00000003436	ENSP00000233156	TFPI
ENSG00000003436	ENSP00000342306	TFPI
ENSG00000003436	ENSP00000376172	TFPI
ENSG00000003436	ENSP00000386344	TFPI
ENSG00000003436	ENSP00000388159	TFPI
ENSG00000003436	ENSP00000394185	TFPI
ENSG00000003436	ENSP00000397248	TFPI
ENSG00000003436	ENSP00000400179	TFPI
ENSG00000003436	ENSP00000402954	TFPI
ENSG00000003436	ENSP00000408170	TFPI
ENSG00000003436	ENSP00000409177	TFPI
ENSG00000004142	ENSP00000475924	POLDIP2
ENSG00000004142	ENSP00000477665	POLDIP2
ENSG00000004399	ENSP00000317128	PLXND1
ENSG00000004399	ENSP00000423832	PLXND1
ENSG00000004399	ENSP00000426162	PLXND1
ENSG00000004399	ENSP00000426241	PLXND1
ENSG00000004399	ENSP00000426540	PLXND1
ENSG00000004399	ENSP00000427696	PLXND1
ENSG00000004455	ENSP00000346921	AK2
ENSG00000004455	ENSP00000362548	AK2
ENSG00000004455	ENSP00000446849	AK2
ENSG00000004455	ENSP00000447082	AK2
ENSG00000004455	ENSP00000449003	AK2
ENSG00000004455	ENSP00000450008	AK2
ENSG00000004455	ENSP00000450109	AK2
ENSG00000004455	ENSP00000486342	AK2
ENSG00000004455	ENSP00000486507	AK2
ENSG00000004478	ENSP00000001008	FKBP4
ENSG00000004478	ENSP00000438491	FKBP4
ENSG00000004478	ENSP00000439703	FKBP4
ENSG00000004478	ENSP00000442193	FKBP4
ENSG00000004478	ENSP00000446368	FKBP4
ENSG00000004478	ENSP00000486800	FKBP4
ENSG00000004700	ENSP00000318727	RECQL
ENSG00000004700	ENSP00000379400	RECQL
ENSG00000004700	ENSP00000395449	RECQL
ENSG00000004700	ENSP00000416739	RECQL
ENSG00000004700	ENSP00000439069	RECQL
ENSG00000004700	ENSP00000440700	RECQL
ENSG00000004700	ENSP00000445555	RECQL
ENSG00000004700	ENSP00000446036	RECQL
ENSG00000004777	ENSP00000007510	ARHGAP33
ENSG00000004777	ENSP00000320038	ARHGAP33
ENSG00000004777	ENSP00000368227	ARHGAP33
ENSG00000004777	ENSP00000465411	ARHGAP33
ENSG00000004777	ENSP00000466443	ARHGAP33
ENSG00000004777	ENSP00000467844	ARHGAP33
ENSG00000004779	ENSP00000007516	NDUFAB1
ENSG00000004779	ENSP00000454812	NDUFAB1
ENSG00000004779	ENSP00000454891	NDUFAB1
ENSG00000004779	ENSP00000458770	NDUFAB1
ENSG00000004779	ENSP00000461693	NDUFAB1
ENSG00000004864	ENSP00000265631	SLC25A13
ENSG00000004864	ENSP00000400101	SLC25A13
ENSG00000004864	ENSP00000473505	SLC25A13
ENSG00000004961	ENSP00000326579	HCCS
ENSG00000004961	ENSP00000370139	HCCS
ENSG00000004961	ENSP00000370140	HCCS
ENSG00000005100	ENSP00000225296	DHX33
ENSG00000005100	ENSP00000413779	DHX33
ENSG00000005100	ENSP00000458203	DHX33
ENSG00000005100	ENSP00000458925	DHX33
ENSG00000005102	ENSP00000321684	MEOX1
ENSG00000005102	ENSP00000328678	MEOX1
ENSG00000005102	ENSP00000377271	MEOX1
ENSG00000005102	ENSP00000449049	MEOX1
ENSG00000005175	ENSP00000005386	RPAP3
ENSG00000005175	ENSP00000370024	RPAP3
ENSG00000005175	ENSP00000401823	RPAP3
ENSG00000005187	ENSP00000289416	ACSM3
ENSG00000005187	ENSP00000394565	ACSM3
ENSG00000005187	ENSP00000456055	ACSM3
ENSG00000005187	ENSP00000456767	ACSM3
ENSG00000005187	ENSP00000457003	ACSM3
ENSG00000005187	ENSP00000457158	ACSM3
ENSG00000005187	ENSP00000457608	ACSM3
ENSG00000005187	ENSP00000457926	ACSM3
ENSG00000005187	ENSP00000458068	ACSM3
ENSG00000005189	ENSP00000261377	REXO5
ENSG00000005189	ENSP00000261378	REXO5
ENSG00000005189	ENSP00000454262	REXO5
ENSG00000005189	ENSP00000455233	REXO5
ENSG00000005189	ENSP00000455677	REXO5
ENSG00000005189	ENSP00000455867	REXO5
ENSG00000005189	ENSP00000456030	REXO5
ENSG00000005189	ENSP00000456182	REXO5
ENSG00000005189	ENSP00000456227	REXO5
ENSG00000005189	ENSP00000456643	REXO5
ENSG00000005189	ENSP00000456666	REXO5
ENSG00000005189	ENSP00000457616	REXO5
ENSG00000005189	ENSP00000457789	REXO5
ENSG00000005189	ENSP00000458004	REXO5
ENSG00000005194	ENSP00000377914	CIAPIN1
ENSG00000005194	ENSP00000454480	CIAPIN1
ENSG00000005194	ENSP00000455309	CIAPIN1
ENSG00000005194	ENSP00000455572	CIAPIN1
ENSG00000005194	ENSP00000456114	CIAPIN1
ENSG00000005194	ENSP00000457042	CIAPIN1
ENSG00000005194	ENSP00000457318	CIAPIN1
ENSG00000005194	ENSP00000457400	CIAPIN1
ENSG00000005194	ENSP00000457622	CIAPIN1
ENSG00000005194	ENSP00000458000	CIAPIN1
ENSG00000005243	ENSP00000462035	COPZ2
ENSG00000005243	ENSP00000463413	COPZ2
ENSG00000005243	ENSP00000463581	COPZ2
ENSG00000005243	ENSP00000463687	COPZ2
ENSG00000005243	ENSP00000463841	COPZ2
ENSG00000005243	ENSP00000464484	COPZ2
ENSG00000005243	ENSP00000480707	COPZ2
ENSG00000005249	ENSP00000265717	PRKAR2B
ENSG00000005302	ENSP00000312244	MSL3
ENSG00000005302	ENSP00000338078	MSL3
ENSG00000005302	ENSP00000354562	MSL3
ENSG00000005302	ENSP00000370067	MSL3
ENSG00000005302	ENSP00000370068	MSL3
ENSG00000005302	ENSP00000370069	MSL3
ENSG00000005302	ENSP00000381538	MSL3
ENSG00000005302	ENSP00000401809	MSL3
ENSG00000005302	ENSP00000418673	MSL3
ENSG00000005302	ENSP00000419976	MSL3
ENSG00000005339	ENSP00000262367	CREBBP
ENSG00000005339	ENSP00000371502	CREBBP
ENSG00000005339	ENSP00000458254	CREBBP
ENSG00000005339	ENSP00000459490	CREBBP
ENSG00000005339	ENSP00000460474	CREBBP
ENSG00000005339	ENSP00000461002	CREBBP
ENSG00000005379	ENSP00000268893	TSPOAP1
ENSG00000005379	ENSP00000345824	TSPOAP1
ENSG00000005379	ENSP00000462518	TSPOAP1
ENSG00000005379	ENSP00000462710	TSPOAP1
ENSG00000005379	ENSP00000462822	TSPOAP1
ENSG00000005381	ENSP00000225275	MPO
ENSG00000005381	ENSP00000464668	MPO
ENSG00000005448	ENSP00000006526	WDR54
ENSG00000005448	ENSP00000387236	WDR54
ENSG00000005448	ENSP00000406606	WDR54
ENSG00000005469	ENSP00000331981	CROT
ENSG00000005469	ENSP00000404867	CROT
ENSG00000005469	ENSP00000411983	CROT
ENSG00000005469	ENSP00000413575	CROT
ENSG00000005486	ENSP00000006777	RHBDD2
ENSG00000005486	ENSP00000314144	RHBDD2
ENSG00000005486	ENSP00000391232	RHBDD2
ENSG00000005486	ENSP00000403507	RHBDD2
ENSG00000005513	ENSP00000293894	SOX8
ENSG00000005844	ENSP00000349252	ITGAL
ENSG00000005844	ENSP00000350886	ITGAL
ENSG00000005844	ENSP00000409377	ITGAL
ENSG00000005844	ENSP00000454342	ITGAL
ENSG00000005844	ENSP00000454908	ITGAL
ENSG00000005844	ENSP00000456521	ITGAL
ENSG00000005844	ENSP00000456888	ITGAL
ENSG00000005844	ENSP00000457785	ITGAL
ENSG00000005844	ENSP00000458739	ITGAL
ENSG00000005844	ENSP00000461006	ITGAL
ENSG00000005961	ENSP00000262407	ITGA2B
ENSG00000005961	ENSP00000465534	ITGA2B
ENSG00000005961	ENSP00000467269	ITGA2B
ENSG00000006015	ENSP00000351422	REX1BD
ENSG00000006015	ENSP00000398467	REX1BD
ENSG00000006015	ENSP00000469859	REX1BD
ENSG00000006015	ENSP00000471429	REX1BD
ENSG00000006025	ENSP00000007414	OSBPL7
ENSG00000006025	ENSP00000376295	OSBPL7
ENSG00000006025	ENSP00000463599	OSBPL7
ENSG00000006025	ENSP00000464624	OSBPL7
ENSG00000006025	ENSP00000479827	OSBPL7
ENSG00000006118	ENSP00000005286	TMEM132A
ENSG00000006118	ENSP00000405823	TMEM132A
ENSG00000006118	ENSP00000437848	TMEM132A
ENSG00000006118	ENSP00000439716	TMEM132A
ENSG00000006118	ENSP00000439717	TMEM132A
ENSG00000006118	ENSP00000442754	TMEM132A
ENSG00000006282	ENSP00000006658	SPATA20
ENSG00000006282	ENSP00000348878	SPATA20
ENSG00000006282	ENSP00000422378	SPATA20
ENSG00000006282	ENSP00000423643	SPATA20
ENSG00000006282	ENSP00000424215	SPATA20
ENSG00000006282	ENSP00000424538	SPATA20
ENSG00000006282	ENSP00000425271	SPATA20
ENSG00000006282	ENSP00000426025	SPATA20
ENSG00000006282	ENSP00000426228	SPATA20
ENSG00000006282	ENSP00000426608	SPATA20
ENSG00000006282	ENSP00000427374	SPATA20
ENSG00000006282	ENSP00000483295	SPATA20
ENSG00000006282	ENSP00000489476	SPATA20
ENSG00000006282	ENSP00000489591	SPATA20
ENSG00000006327	ENSP00000326737	TNFRSF12A
ENSG00000006327	ENSP00000343894	TNFRSF12A
ENSG00000006327	ENSP00000458305	TNFRSF12A
ENSG00000006327	ENSP00000458898	TNFRSF12A
ENSG00000006327	ENSP00000460610	TNFRSF12A
ENSG00000006327	ENSP00000461756	TNFRSF12A
ENSG00000006451	ENSP00000005257	RALA
ENSG00000006451	ENSP00000388975	RALA
ENSG00000006451	ENSP00000413227	RALA
ENSG00000006453	ENSP00000005260	BAIAP2L1
ENSG00000006530	ENSP00000347581	AGK
ENSG00000006530	ENSP00000418101	AGK
ENSG00000006530	ENSP00000418789	AGK
ENSG00000006530	ENSP00000420540	AGK
ENSG00000006530	ENSP00000420776	AGK
ENSG00000006530	ENSP00000487274	AGK
ENSG00000006534	ENSP00000473990	ALDH3B1
ENSG00000006534	ENSP00000477789	ALDH3B1
ENSG00000006534	ENSP00000478380	ALDH3B1
ENSG00000006534	ENSP00000478486	ALDH3B1
ENSG00000006534	ENSP00000478632	ALDH3B1
ENSG00000006534	ENSP00000479948	ALDH3B1
ENSG00000006534	ENSP00000481604	ALDH3B1
ENSG00000006534	ENSP00000483988	ALDH3B1
ENSG00000006534	ENSP00000484901	ALDH3B1
ENSG00000006576	ENSP00000248550	PHTF2
ENSG00000006576	ENSP00000275575	PHTF2
ENSG00000006576	ENSP00000307699	PHTF2
ENSG00000006576	ENSP00000387355	PHTF2
ENSG00000006576	ENSP00000400958	PHTF2
ENSG00000006576	ENSP00000403042	PHTF2
ENSG00000006576	ENSP00000403620	PHTF2
ENSG00000006576	ENSP00000408035	PHTF2
ENSG00000006606	ENSP00000005180	CCL26
ENSG00000006606	ENSP00000378365	CCL26
ENSG00000006607	ENSP00000264042	FARP2
ENSG00000006607	ENSP00000362384	FARP2
ENSG00000006607	ENSP00000388167	FARP2
ENSG00000006607	ENSP00000393376	FARP2
ENSG00000006607	ENSP00000403437	FARP2
ENSG00000006607	ENSP00000411353	FARP2
ENSG00000006607	ENSP00000412772	FARP2
ENSG00000006607	ENSP00000415474	FARP2
ENSG00000006607	ENSP00000486597	FARP2
ENSG00000006625	ENSP00000005374	GGCT
