Ensembl Gene ID	Ensembl Protein ID
ENSG00000000938	ENSP00000363115
ENSG00000000938	ENSP00000363116
ENSG00000000938	ENSP00000363117
ENSG00000000938	ENSP00000382126
ENSG00000000938	ENSP00000407670
ENSG00000000971	ENSP00000352658
ENSG00000000971	ENSP00000356399
ENSG00000000971	ENSP00000487250
ENSG00000001036	ENSP00000002165
ENSG00000001036	ENSP00000398119
ENSG00000001561	ENSP00000318066
ENSG00000002822	ENSP00000265854
ENSG00000002822	ENSP00000382562
ENSG00000002822	ENSP00000384155
ENSG00000002822	ENSP00000385334
ENSG00000002822	ENSP00000390099
ENSG00000002822	ENSP00000393037
ENSG00000002822	ENSP00000394069
ENSG00000002822	ENSP00000394886
ENSG00000002822	ENSP00000395457
ENSG00000002822	ENSP00000397417
ENSG00000002822	ENSP00000401901
ENSG00000002822	ENSP00000413139
ENSG00000002822	ENSP00000414877
ENSG00000003249	ENSP00000002501
ENSG00000003249	ENSP00000306407
ENSG00000003249	ENSP00000376699
ENSG00000003249	ENSP00000456573
ENSG00000003249	ENSP00000457625
ENSG00000003400	ENSP00000237865
ENSG00000003400	ENSP00000272879
ENSG00000003400	ENSP00000286186
ENSG00000003400	ENSP00000314599
ENSG00000003400	ENSP00000353250
ENSG00000003400	ENSP00000363781
ENSG00000003400	ENSP00000396835
ENSG00000003400	ENSP00000401914
ENSG00000003402	ENSP00000312455
ENSG00000003402	ENSP00000339326
ENSG00000003402	ENSP00000339335
ENSG00000003402	ENSP00000342809
ENSG00000003402	ENSP00000345807
ENSG00000003402	ENSP00000378580
ENSG00000003402	ENSP00000391029
ENSG00000003402	ENSP00000398551
ENSG00000003402	ENSP00000399420
ENSG00000003402	ENSP00000406775
ENSG00000003402	ENSP00000409570
ENSG00000003402	ENSP00000411535
ENSG00000003402	ENSP00000411897
ENSG00000003402	ENSP00000412882
ENSG00000003402	ENSP00000413270
ENSG00000003402	ENSP00000469608
ENSG00000003402	ENSP00000469917
ENSG00000003402	ENSP00000471749
ENSG00000003402	ENSP00000471805
ENSG00000003436	ENSP00000233156
ENSG00000003436	ENSP00000342306
ENSG00000003436	ENSP00000376172
ENSG00000003436	ENSP00000386344
ENSG00000003436	ENSP00000388159
ENSG00000003436	ENSP00000394185
ENSG00000003436	ENSP00000397248
ENSG00000003436	ENSP00000400179
ENSG00000003436	ENSP00000402954
ENSG00000003436	ENSP00000408170
ENSG00000003436	ENSP00000409177
ENSG00000004142	ENSP00000475924
ENSG00000004142	ENSP00000477665
ENSG00000004399	ENSP00000317128
